make,model,year,mileage,engine_size,transmission,fuel_type,terrain_type,avg_road_quality,days_since_service,driving_style,service_needed
Hyundai,Venue,2010,69234,1.0,Manual,Petrol,Highway,4,395,normal,0
Mahindra,XUV300,2006,158538,0.9,Manual,Petrol,Urban,4,383,rough,1
Toyota,Corolla,2017,57098,1.6,Automatic,Diesel,Hills,5,68,smooth,0
Kia,Sportage,2000,105795,1.3,Manual,Petrol,Highway,3,468,smooth,0
Suzuki,Baleno,2001,121324,2.1,Manual,Petrol,Urban,1,38,normal,0
Mahindra,Bolero,2010,92780,1.6,Automatic,Diesel,Urban,2,132,smooth,0
Kia,Sportage,2000,41102,1.7,Manual,Diesel,Highway,3,587,rough,1
Hyundai,Creta,2006,157697,2.1,Automatic,Diesel,Hills,1,252,smooth,1
Kia,Sonet,2003,4542,1.5,Manual,Diesel,Urban,2,392,normal,1
Suzuki,Wagon R,2015,22065,1.0,Manual,Petrol,Urban,5,164,normal,0
Suzuki,Baleno,2003,29962,1.7,Manual,Diesel,Highway,5,341,smooth,1
Mahindra,Scorpio,2017,191926,2.3,Manual,Petrol,Highway,5,131,rough,0
Mahindra,Scorpio,2001,169981,1.9,Automatic,Diesel,Hills,3,444,rough,1
Tata,Nexon,2009,29790,1.5,Manual,Diesel,Highway,2,530,rough,1
Kia,Sonet,2004,18485,1.6,Automatic,Diesel,Hills,5,219,normal,1
Mahindra,XUV300,2023,33355,1.0,Manual,Petrol,Highway,5,360,smooth,0
Tata,Nexon,2004,55224,1.9,Manual,Diesel,Highway,4,189,rough,1
Toyota,Yaris,2022,31016,0.9,Automatic,Diesel,Hills,1,116,smooth,1
Tata,Nexon,2003,39395,2.4,Manual,Diesel,Hills,5,148,rough,1
Kia,Sonet,2013,96396,2.4,Manual,Petrol,Urban,5,226,smooth,0
Kia,Sportage,2016,16843,0.9,Automatic,Petrol,Hills,1,304,rough,1
Suzuki,Alto,2011,55638,2.4,Automatic,Diesel,Highway,3,470,smooth,1
Kia,Sonet,2022,141186,1.2,Manual,Petrol,Hills,4,407,smooth,1
Hyundai,Venue,2018,163775,1.1,Manual,Petrol,Highway,4,89,smooth,0
Kia,Sonet,2005,87665,1.2,Manual,Diesel,Urban,4,40,rough,0
Mahindra,XUV300,2001,23159,1.5,Manual,Diesel,Highway,1,200,rough,1
Kia,Seltos,1998,58284,2.1,Manual,Diesel,Hills,4,557,rough,1
Toyota,Yaris,2000,121012,2.3,Automatic,Petrol,Highway,3,255,smooth,1
Mahindra,Scorpio,2002,53990,2.3,Manual,Diesel,Highway,2,241,smooth,1
Tata,Altroz,2010,171964,0.8,Manual,Petrol,Highway,1,373,normal,1
Toyota,Yaris,1998,103497,2.4,Manual,Petrol,Highway,1,281,normal,1
Kia,Sportage,2022,23309,2.1,Automatic,Petrol,Highway,1,460,normal,1
Hyundai,Creta,1998,21017,0.9,Manual,Petrol,Highway,1,404,rough,1
Hyundai,Venue,2013,181998,2.2,Automatic,Diesel,Urban,1,436,normal,1
Toyota,Hilux,2020,26524,2.0,Manual,Diesel,Highway,2,457,normal,1
Mahindra,Scorpio,2016,147528,1.2,Automatic,Petrol,Hills,1,0,smooth,0
Toyota,Corolla,2016,56932,1.8,Manual,Diesel,Highway,1,487,smooth,1
Kia,Sonet,1999,39187,1.2,Manual,Diesel,Highway,2,249,rough,1
Mahindra,XUV300,1999,64877,2.0,Manual,Diesel,Hills,3,305,rough,1
Kia,Sportage,2009,177016,1.7,Automatic,Diesel,Urban,5,400,smooth,1
Toyota,Yaris,2013,22198,0.8,Manual,Diesel,Hills,5,577,rough,1
Toyota,Yaris,2008,56682,2.2,Manual,Petrol,Highway,4,305,smooth,0
Toyota,Yaris,1999,141013,1.7,Automatic,Diesel,Urban,3,446,smooth,1
Mahindra,Scorpio,1999,97456,1.6,Automatic,Diesel,Urban,4,541,normal,1
Hyundai,i20,2020,186401,2.2,Automatic,Petrol,Hills,5,137,normal,0
Tata,Nexon,2021,22963,0.9,Automatic,Petrol,Urban,5,545,rough,1
Hyundai,i10,2003,17388,1.4,Manual,Diesel,Urban,3,42,smooth,0
Suzuki,Swift,2013,48002,0.9,Manual,Petrol,Urban,1,182,smooth,1
Hyundai,Creta,2013,140162,1.0,Automatic,Petrol,Urban,4,359,normal,1
Tata,Altroz,2001,111215,1.5,Automatic,Petrol,Highway,3,92,normal,0
Kia,Sonet,2015,31732,1.1,Manual,Diesel,Highway,3,4,smooth,0
Toyota,Yaris,2015,114195,1.4,Automatic,Diesel,Highway,5,512,normal,0
Hyundai,Venue,2002,107680,1.4,Automatic,Petrol,Hills,2,77,rough,1
Tata,Nexon,2023,115428,1.3,Manual,Petrol,Highway,2,248,normal,1
Mahindra,XUV300,2012,139312,1.9,Automatic,Petrol,Highway,3,47,normal,0
Toyota,Hilux,2014,98257,2.2,Manual,Diesel,Hills,1,252,smooth,1
Tata,Tiago,2017,134374,1.4,Manual,Petrol,Hills,2,27,normal,0
Kia,Sonet,2020,70661,1.5,Manual,Petrol,Urban,5,525,normal,1
Kia,Seltos,2021,139198,1.9,Manual,Petrol,Highway,3,507,rough,1
Mahindra,Scorpio,2010,121033,1.5,Manual,Petrol,Urban,3,14,smooth,0
Tata,Altroz,2022,172590,1.4,Automatic,Petrol,Highway,2,38,normal,0
Toyota,Hilux,2022,53448,1.1,Automatic,Petrol,Highway,2,125,smooth,0
Hyundai,Venue,2009,7632,2.2,Automatic,Diesel,Hills,4,24,normal,0
Hyundai,Creta,2001,10561,2.1,Manual,Petrol,Hills,5,145,rough,1
Kia,Sportage,2012,140443,1.7,Manual,Petrol,Urban,2,368,rough,1
Suzuki,Alto,2009,75274,1.4,Automatic,Diesel,Urban,5,517,smooth,1
Mahindra,Scorpio,2017,188625,1.8,Manual,Petrol,Hills,3,314,normal,1
Suzuki,Swift,2010,115581,1.8,Automatic,Diesel,Hills,1,436,rough,1
Mahindra,Scorpio,2019,119421,1.4,Automatic,Diesel,Highway,4,349,rough,1
Hyundai,i10,2008,79125,1.1,Manual,Diesel,Highway,1,242,normal,1
Mahindra,XUV300,2005,7324,2.4,Manual,Petrol,Hills,2,467,normal,1
Kia,Sonet,2008,125883,0.8,Automatic,Petrol,Urban,1,503,normal,1
Hyundai,Venue,2003,16234,2.1,Manual,Diesel,Highway,2,391,rough,1
Suzuki,Wagon R,2023,49514,2.1,Automatic,Petrol,Urban,5,325,rough,1
Mahindra,Scorpio,2023,45101,1.9,Automatic,Petrol,Highway,4,224,rough,1
Toyota,Corolla,2017,171048,1.6,Automatic,Diesel,Highway,1,89,normal,0
Toyota,Hilux,2011,45533,1.7,Manual,Petrol,Highway,3,510,smooth,0
Hyundai,Creta,2001,108292,1.7,Automatic,Diesel,Highway,1,9,smooth,0
Suzuki,Wagon R,2002,90958,1.7,Automatic,Petrol,Highway,2,12,rough,1
Tata,Altroz,2005,168459,1.2,Manual,Petrol,Highway,5,328,rough,1
Hyundai,i20,2014,96070,1.6,Automatic,Petrol,Highway,3,94,smooth,0
Toyota,Yaris,2014,86524,2.1,Manual,Diesel,Hills,4,333,rough,1
Hyundai,i10,2018,142639,2.4,Automatic,Petrol,Highway,2,587,rough,1
Mahindra,Bolero,2000,127450,2.3,Automatic,Diesel,Hills,4,348,smooth,1
Tata,Nexon,2005,175904,2.0,Automatic,Petrol,Highway,4,290,smooth,0
Tata,Altroz,2018,18524,2.1,Automatic,Diesel,Hills,3,77,normal,0
Mahindra,Scorpio,2023,128501,1.4,Manual,Petrol,Urban,5,41,normal,0
Kia,Sportage,2022,46303,1.5,Automatic,Diesel,Highway,3,421,rough,1
Hyundai,Creta,1998,105974,1.6,Manual,Diesel,Hills,1,144,normal,1
Toyota,Corolla,1998,14246,1.4,Manual,Petrol,Urban,5,103,normal,0
Kia,Seltos,2016,14302,1.0,Manual,Petrol,Highway,3,390,smooth,0
Suzuki,Alto,2016,27519,1.9,Automatic,Diesel,Urban,4,14,smooth,0
Suzuki,Swift,2012,74324,1.6,Manual,Diesel,Highway,3,419,smooth,1
Toyota,Hilux,2003,100720,1.3,Manual,Petrol,Hills,5,410,smooth,1
Toyota,Corolla,2020,5336,0.9,Manual,Diesel,Highway,2,521,normal,1
Mahindra,Scorpio,2002,177944,1.0,Automatic,Diesel,Urban,5,158,normal,0
Mahindra,XUV300,2012,74907,1.5,Manual,Diesel,Hills,4,14,rough,1
Mahindra,Bolero,2005,67772,1.6,Manual,Diesel,Hills,4,129,smooth,0
Hyundai,i20,2016,173738,1.7,Manual,Petrol,Urban,2,282,smooth,1
Suzuki,Alto,2002,74315,1.1,Automatic,Petrol,Urban,2,549,smooth,1
Hyundai,Venue,2003,147071,1.5,Automatic,Petrol,Urban,2,301,rough,1
Tata,Tiago,2008,136515,2.3,Manual,Petrol,Highway,2,459,smooth,1
Toyota,Yaris,2009,40219,2.3,Manual,Petrol,Hills,5,126,rough,1
Kia,Seltos,2007,30632,1.7,Automatic,Diesel,Highway,2,50,smooth,1
Suzuki,Wagon R,2011,178399,2.1,Automatic,Diesel,Hills,3,406,smooth,1
Hyundai,i10,1998,79589,1.2,Manual,Diesel,Hills,2,419,normal,1
Tata,Nexon,2019,120718,2.3,Manual,Petrol,Hills,3,430,normal,1
Mahindra,XUV300,2006,60545,2.1,Automatic,Diesel,Urban,5,574,smooth,1
Kia,Seltos,2017,183760,2.2,Manual,Petrol,Hills,2,209,rough,1
Toyota,Yaris,1999,39368,1.7,Manual,Petrol,Hills,3,178,smooth,0
Mahindra,XUV300,2019,70526,1.1,Automatic,Petrol,Hills,5,160,rough,1
Mahindra,Bolero,2014,171220,1.7,Manual,Diesel,Highway,2,155,normal,0
Suzuki,Wagon R,2015,106892,1.6,Automatic,Diesel,Highway,1,83,rough,0
Hyundai,i10,2006,183912,1.7,Automatic,Petrol,Highway,4,62,normal,0
Tata,Altroz,2005,154878,1.8,Automatic,Petrol,Urban,5,214,rough,1
Hyundai,i10,2016,27442,2.1,Automatic,Diesel,Hills,5,304,normal,1
Toyota,Yaris,2010,176532,1.6,Automatic,Petrol,Hills,3,17,normal,0
Kia,Seltos,1998,67077,1.9,Manual,Petrol,Highway,2,193,smooth,1
Mahindra,Bolero,2019,122771,1.6,Automatic,Diesel,Highway,3,263,normal,0
Suzuki,Baleno,2020,43806,2.0,Manual,Petrol,Hills,2,457,smooth,1
Toyota,Corolla,2016,78629,1.6,Manual,Diesel,Urban,1,86,rough,0
Tata,Nexon,2020,108947,2.1,Automatic,Petrol,Highway,5,7,normal,0
Kia,Sportage,1998,113904,1.2,Manual,Diesel,Highway,3,327,rough,1
Mahindra,Bolero,2019,165552,2.1,Automatic,Petrol,Highway,3,50,smooth,0
Kia,Sportage,1998,88595,1.2,Manual,Petrol,Hills,2,95,rough,1
Suzuki,Baleno,2021,165893,1.8,Manual,Diesel,Urban,3,451,normal,0
Suzuki,Alto,2017,130157,1.1,Manual,Petrol,Hills,2,6,normal,1
Mahindra,XUV300,2007,19032,1.1,Manual,Petrol,Urban,3,380,rough,1
Suzuki,Baleno,2016,147931,1.8,Manual,Petrol,Urban,2,513,normal,1
Suzuki,Wagon R,1998,26236,1.3,Automatic,Petrol,Highway,2,385,smooth,1
Suzuki,Baleno,2000,105870,0.9,Automatic,Petrol,Urban,4,260,rough,1
Toyota,Yaris,2002,135351,1.7,Manual,Petrol,Hills,2,52,smooth,0
Suzuki,Alto,2009,123674,2.3,Manual,Diesel,Highway,4,279,smooth,1
Suzuki,Baleno,2014,182357,1.6,Automatic,Petrol,Hills,1,114,smooth,0
Hyundai,i10,2014,5573,2.0,Manual,Petrol,Hills,2,236,smooth,1
Hyundai,i20,2022,63774,1.1,Manual,Petrol,Urban,3,493,smooth,0
Kia,Seltos,2001,58961,1.6,Automatic,Petrol,Highway,5,74,normal,0
Mahindra,XUV300,2003,64268,2.1,Manual,Diesel,Urban,1,33,rough,1
Tata,Altroz,2014,156252,1.8,Automatic,Petrol,Highway,2,587,smooth,1
Hyundai,i10,2020,51756,0.8,Automatic,Petrol,Urban,5,26,smooth,0
Hyundai,i20,2022,84182,2.2,Manual,Petrol,Highway,2,267,smooth,1
Mahindra,XUV300,2010,50924,1.1,Automatic,Diesel,Highway,5,400,normal,1
Suzuki,Alto,2023,104332,1.4,Manual,Diesel,Urban,2,557,normal,1
Tata,Tiago,1999,104371,2.3,Automatic,Diesel,Urban,1,291,smooth,1
Mahindra,Bolero,2016,56276,1.4,Manual,Diesel,Hills,3,511,smooth,1
Suzuki,Baleno,2001,158834,1.3,Manual,Petrol,Highway,3,309,smooth,0
Mahindra,XUV300,1999,187374,1.9,Automatic,Petrol,Highway,5,311,normal,0
Kia,Sportage,1998,62129,0.8,Automatic,Petrol,Highway,4,466,normal,0
Mahindra,XUV300,2000,166059,0.9,Automatic,Petrol,Highway,3,364,normal,0
Suzuki,Baleno,2008,69017,1.8,Manual,Diesel,Hills,2,500,rough,1
Kia,Seltos,2006,18048,1.4,Automatic,Diesel,Hills,1,216,rough,1
Suzuki,Baleno,2008,86559,1.5,Automatic,Diesel,Urban,3,130,normal,0
Mahindra,Scorpio,2015,168092,0.8,Automatic,Diesel,Urban,3,477,smooth,0
Suzuki,Swift,2003,91929,1.0,Automatic,Petrol,Highway,5,43,normal,0
Toyota,Hilux,2014,169844,2.1,Automatic,Diesel,Hills,1,496,smooth,1
Suzuki,Swift,2012,154563,1.7,Automatic,Petrol,Urban,3,80,smooth,0
Hyundai,Creta,2020,188828,1.9,Automatic,Petrol,Hills,1,465,smooth,1
Kia,Seltos,2022,80454,1.9,Manual,Petrol,Highway,1,537,rough,1
Tata,Altroz,2012,162007,1.9,Automatic,Petrol,Hills,1,85,smooth,0
Suzuki,Swift,2023,47813,1.0,Manual,Diesel,Urban,1,497,normal,1
Mahindra,Bolero,2020,140809,2.0,Manual,Diesel,Highway,4,401,normal,1
Mahindra,Scorpio,2007,69150,0.9,Manual,Diesel,Highway,3,187,rough,1
Hyundai,i20,2010,137055,1.5,Manual,Petrol,Urban,4,38,smooth,0
Hyundai,i20,2012,97071,1.7,Automatic,Petrol,Highway,5,396,rough,1
Suzuki,Baleno,2015,116824,2.2,Automatic,Diesel,Highway,2,107,rough,0
Toyota,Yaris,1999,126618,2.2,Automatic,Petrol,Hills,3,140,rough,0
Tata,Altroz,2015,182615,2.3,Manual,Petrol,Urban,3,38,normal,0
Suzuki,Baleno,2011,19371,0.9,Automatic,Petrol,Hills,1,476,rough,1
Kia,Sonet,2018,196259,1.8,Automatic,Petrol,Urban,4,238,normal,0
Suzuki,Alto,2022,105665,0.9,Automatic,Diesel,Urban,4,388,smooth,0
Toyota,Hilux,1998,35733,0.8,Automatic,Petrol,Highway,5,141,smooth,0
Hyundai,i10,2021,35413,2.2,Automatic,Petrol,Hills,2,292,rough,1
Toyota,Yaris,2022,191847,0.8,Automatic,Petrol,Highway,1,398,rough,1
Suzuki,Baleno,2014,125744,1.9,Automatic,Diesel,Highway,4,186,normal,0
Suzuki,Baleno,2023,70364,2.1,Manual,Diesel,Urban,3,379,rough,1
Hyundai,i20,2003,134878,2.2,Manual,Diesel,Highway,3,61,normal,0
Tata,Nexon,2010,182352,2.0,Automatic,Petrol,Hills,4,570,normal,1
Hyundai,Venue,2005,191051,2.1,Automatic,Diesel,Hills,5,242,smooth,1
Toyota,Hilux,2010,168229,1.2,Manual,Petrol,Highway,2,217,rough,1
Tata,Altroz,2006,161448,2.3,Manual,Diesel,Hills,5,53,normal,1
Hyundai,Venue,2012,69262,2.2,Automatic,Diesel,Hills,3,19,rough,1
Mahindra,Scorpio,2023,33448,1.1,Automatic,Diesel,Urban,2,418,smooth,1
Suzuki,Swift,2015,159497,1.9,Automatic,Petrol,Hills,3,159,rough,0
Mahindra,Scorpio,2000,64413,1.8,Manual,Petrol,Highway,5,88,rough,0
Kia,Sonet,2006,105979,1.7,Automatic,Diesel,Hills,2,266,normal,1
Tata,Tiago,2006,157946,1.2,Automatic,Diesel,Urban,5,194,normal,1
Kia,Sonet,2022,91801,2.2,Automatic,Diesel,Urban,1,462,smooth,1
Toyota,Hilux,2005,45520,1.7,Manual,Petrol,Highway,3,225,rough,1
Toyota,Yaris,2021,108595,1.4,Manual,Diesel,Highway,3,175,rough,0
Hyundai,Venue,2023,44873,0.9,Automatic,Diesel,Highway,4,592,rough,1
Mahindra,Scorpio,2015,128991,2.2,Automatic,Diesel,Hills,5,114,normal,0
Kia,Sportage,2023,131322,1.4,Automatic,Petrol,Hills,2,39,rough,1
Tata,Nexon,2010,102616,2.2,Automatic,Diesel,Hills,3,335,normal,1
Kia,Seltos,2005,199154,1.1,Automatic,Diesel,Urban,5,362,rough,1
Mahindra,XUV300,2010,100624,2.3,Manual,Petrol,Highway,4,190,normal,1
Tata,Tiago,2003,56947,1.1,Automatic,Diesel,Highway,3,556,rough,1
Tata,Altroz,2023,71344,0.8,Automatic,Petrol,Hills,2,393,normal,1
Toyota,Corolla,2008,170581,2.3,Automatic,Diesel,Urban,2,355,rough,1
Toyota,Yaris,1999,182917,2.0,Automatic,Petrol,Urban,4,294,normal,0
Hyundai,i10,1999,194533,1.3,Manual,Diesel,Highway,1,16,normal,0
Toyota,Corolla,2005,166038,1.4,Automatic,Petrol,Highway,5,325,normal,0
Hyundai,i10,2016,181589,0.8,Manual,Petrol,Highway,1,223,normal,1
Tata,Altroz,1999,64246,1.4,Automatic,Diesel,Hills,5,277,normal,1
Kia,Seltos,2001,86807,2.0,Manual,Petrol,Urban,4,191,smooth,0
Hyundai,i20,2014,126797,1.9,Manual,Diesel,Urban,1,21,smooth,0
Suzuki,Baleno,2023,117682,2.2,Automatic,Diesel,Urban,5,226,rough,1
Suzuki,Alto,2017,103732,1.4,Automatic,Diesel,Urban,5,32,rough,0
Kia,Seltos,2003,34598,1.6,Automatic,Diesel,Highway,3,458,normal,1
Tata,Tiago,2023,178641,1.1,Automatic,Petrol,Highway,2,284,rough,1
Kia,Sonet,2001,148360,1.0,Manual,Petrol,Highway,1,38,rough,0
Suzuki,Swift,2012,44846,2.1,Manual,Diesel,Hills,3,129,smooth,0
Hyundai,i20,2012,81797,1.2,Automatic,Diesel,Highway,3,538,rough,1
Toyota,Yaris,2000,178485,1.0,Automatic,Diesel,Urban,4,20,normal,0
Suzuki,Baleno,2012,162674,2.3,Automatic,Diesel,Highway,3,452,normal,1
Kia,Seltos,2000,8626,1.5,Manual,Diesel,Urban,4,526,smooth,1
Tata,Altroz,1999,136052,1.1,Manual,Diesel,Hills,1,523,normal,1
Suzuki,Wagon R,2015,172230,1.6,Automatic,Diesel,Hills,3,583,smooth,1
Suzuki,Wagon R,2011,118672,2.2,Automatic,Petrol,Hills,5,519,normal,1
Suzuki,Baleno,2012,85970,2.2,Automatic,Petrol,Urban,4,198,rough,1
Hyundai,Venue,2000,195860,1.0,Manual,Diesel,Hills,5,535,smooth,1
Kia,Sonet,2023,55098,1.1,Manual,Petrol,Hills,1,205,smooth,1
Mahindra,Scorpio,2004,14536,1.8,Automatic,Diesel,Highway,4,520,smooth,1
Tata,Altroz,2003,68455,1.6,Automatic,Diesel,Urban,5,116,normal,0
Kia,Sonet,1999,57615,1.5,Automatic,Diesel,Hills,5,71,rough,1
Kia,Seltos,2018,160661,1.4,Manual,Petrol,Hills,3,300,normal,1
Suzuki,Alto,2022,67288,2.3,Manual,Petrol,Urban,1,391,rough,1
